Manufacturer Part Number, Quantity, Value, Package, Customer Reference
0ZCJ0005FF2E,8,,1206,PF1 PF2 PF3 PF4 PF5 PF6 PF7 PF8
500R15N270KV4T,2,27pF,0805,C25 C26
5001,1,,TP_TH,TP1
08055C104KAT2A,2,0.1uF,0805,C6 C24
43045-0202,1,,43045-0202,J2
61400413321,1,,61400413321,J3
ABM3-12.000MHZ-B2-T,2,12MHz,SMD2,XTAL1 XTAL2
C0805C220J5GACTU,2,22pF,0805,C9 C10
C1206C104K5RAC7867,1,0.1uF,1206,C8
CC0603KRX7R7BB104,18,0.1uF,0603,C3 C4 C11 C12 C17 C18 C19 C20 C21 C22 C23 C43
                                        C45 C46 C48 C51 C52 C60
CGA4J1X7R1E335K125,2,3.3uF,0805,C1 C2
CKCA43C0G1H220K100AA,1,22pF,1206NET,CN6
CL10C180JB8NNNC,4,18pF,0603,C13 C14 C15 C16
CL31B106KAHNNNE,2,10uF,1206,C5 C7
ECS-60-32-1X,1,,HC49U,XTAL3
EXB-34V153JV,1,15k,0606,RN5
EXB-34V270JV,1,27,0606,RN2
EXB-V8V153,2,15k,1206NET,RN3 RN4
EXB-V8V270,1,27,1206NET,RN1
EXB-V8V270,1,,1206NET,RN1
FT4232H-REEL,2,,QFP64,U1 U2
LMK212B7475KG-T,4,4.7uF,0805,C49 C56 C57 C61
OS4000T,8,,OS4000T,COMPASS_1 COMPASS_2 COMPASS_3 COMPASS_4 COMPASS_5 COMPASS_6 COMPASS_7 COMPASS_8
RC0805FR-07100KL,2,100k,0805,R12 R13
RC0805JR-071KL,2,1k,0805,R14 R15
RMCF0805JT1K50,1,1.5k,0805,R1
RMCF0805JT12K0,2,12k,0805,R6 R7
RMCF0805JT15K0,1,15k,0805,R2
SN75240PWR,2,,TSSOP8,U23 U24
TL1963A-33DCYR,1,,SOT223,U25
TUSB2046BVFR,1,,QFP32,U13
Z0603C102FSMST,4,,0603,L1 L2 L3 L4
