Param,min,max,expected
FW_Version,2.6.4,2147483647,
FW_Date,1-Jan-10,12-Dec-99,
Serial_number,0,99999999,
Test_date,1 Jan 17,12 Dec 99,
Output_Format,1,16,1.1
Display_Fields,1,31,16
HW_Mounting_Pos,1,6,4
Baud_Rate,0,6,2
Set-Reset_Rate,0,2400,100
Output_Rate,-50,40,1
Averaging,0,16,0
AD_Update_Rate,1,6,1
lifeskip,0,20,
Depth_Offset,0,1000,
Max_PSI,0,3000,
Euler,1,4,
Deviation,-1800,1800,
Declination,-1800,1800,
Temp_Offset,-999,999,
Temperature_cal,-99999,99999,
Acc_X_Offset,-99999,99999,
Acc_Y_Offset,-99999,99999,
Acc_Z_Offset,-99999,99999,
Acc_X_Scale,-99999,99999,
Acc_Y_Scale,-99999,99999,
Acc_Z_Scale,-99999,99999,
Mag_X_Offset,-9999,99999,
Mag_Y_Offset,-9999,99999,
Mag_Z_Offset,-9999,99999,
Mag_X_Offset_Factor,-9999,99999,
Mag_Y_Offset_Factor,-9999,99999,
Mag_Z_Offset_Factor,-9999,99999,
Mag_X_Bridge_Offset,-99999,99999,
Mag_Y_Bridge_Offset,-99999,99999,
Mag_Z_Bridge_Offset,-99999,99999,
Mag_X_Scale,-99999,99999,
Mag_X_Scale_HT,-99999,99999,
Mag_Y_Scale,-99999,99999,
Mag_Y_Scale_HT,-99999,99999,
Mag_Z_Scale,-99999,99999,
Mag_Z_Scale_HT,-99999,99999,
Total_Gauss,0,99999,
SoftIronCorrection,-99999,99999,
